Ensembl_gene,Symbol,MoEx_Enrich,MoEx_Hedges_g,MoEx_Var_g,MoEx_SEg
ENSMUSG00000031255,Sytl4,3.6832188030303032,14.215653181825463,3.8091574345747783,1.951706287988738
ENSMUSG00000019913,Sim1,3.0065805303036357,13.28877180616816,3.3539192333330887,1.8313708617680606
ENSMUSG00000047507,Baiap3,2.661205447658789,13.108138563603575,3.268773527729899,1.8079749798406777
ENSMUSG00000032511,Scn5a,2.0806345757575757,12.696284970482404,3.0789941607489384,1.7547062890264393
ENSMUSG00000006930,Hap1,1.8764948484874235,11.98236000753537,2.7643745053647533,1.662640822716907
ENSMUSG00000027301,Oxt,4.968081287878788,11.13406537286079,2.414204154953229,1.553770946746408
ENSMUSG00000031212,Pgr15l,2.5566776623377274,11.132072394473253,2.413411727607797,1.5535159244783419
ENSMUSG00000058838,Rps27a-ps2,1.7605172727272738,10.799903842687677,2.2833204278847004,1.5110659905790682
ENSMUSG00000037727,Avp,3.255509151515151,10.791068882207831,2.279914081621381,1.5099384363679802
ENSMUSG00000056972,Magel2,2.1133915530303025,10.151008456936122,2.0405534579112827,1.4284794215918137
ENSMUSG00000005892,Trh,3.702434666666667,9.865769708867303,1.938597016047264,1.3923350947409405
ENSMUSG00000043388,Tmem130,1.3688758459645438,9.739371864017295,1.8943461652831228,1.37635248584188
ENSMUSG00000092035,Peg10,2.510773674242425,9.376090714980089,1.7703410365317678,1.3305416327690645
ENSMUSG00000038112,AW551984,2.98253625,9.316456242790938,1.7504353191800253,1.323040180485848
ENSMUSG00000034918,Cdhr2,1.3627153560606073,9.26556812267817,1.7335495283255897,1.3166432805910604
ENSMUSG00000006522,Itih3,1.9151950856409092,9.251063746549054,1.7287535963028107,1.3148207468331228
ENSMUSG00000023964,Calcr,3.194798560605152,9.188330274592309,1.7080970390220136,1.3069418652036568
ENSMUSG00000062393,Dgkk,2.3882487575760605,8.904068776381706,1.6162582450853356,1.2713214562357293
ENSMUSG00000031659,Adcy7,1.3180043333333327,8.876850065056583,1.6076158576381827,1.2679179222797439
ENSMUSG00000002265,Peg3,1.220884579124391,8.842181069126578,1.5966461965975645,1.2635846614285742
ENSMUSG00000019986,Ahi1,1.6163070396316677,8.792828953973993,1.581104677930117,1.2574198495053739
ENSMUSG00000037681,Esyt3,1.527140977960757,8.598674812364349,1.520807669268433,1.2332103102344032
ENSMUSG00000029193,Cckar,2.2252865151516663,8.584253125229521,1.5163825476474282,1.231414856028393
ENSMUSG00000024423,Impact,0.8398834848484835,8.441019562071116,1.4728362892412576,1.2136046676085495
ENSMUSG00000070802,Pnmal2,1.3940011931818193,8.389077392140667,1.4572257221708715,1.2071560471500242
ENSMUSG00000031245,Hmgn5,2.61123534090909,8.340885772115486,1.4428285073878877,1.201177966576097
ENSMUSG00000021032,Ngb,2.421108363636365,8.261587856097512,1.4193188366832328,1.1913516847191818
ENSMUSG00000031374,Zfp92,2.085487333333333,8.181052994745997,1.3956723045193857,1.1813857560167997
ENSMUSG00000025579,Gaa,1.30570774411515,8.17297727092069,1.393313900379096,1.1803871824020693
ENSMUSG00000030844,Rgs10,1.3000086363636365,8.124766628026205,1.3792831019666334,1.1744288407420151
ENSMUSG00000036357,Gpr101,2.7088653333333346,7.769172922952884,1.278358372446204,1.130645113395978
ENSMUSG00000054667,Irs4,3.740478863636363,7.732636978093307,1.2682445640217708,1.1261636488635969
ENSMUSG00000036699,Zcchc12,1.414538611110303,7.7206043492750105,1.2649241512194174,1.1246884685189127
ENSMUSG00000019359,Gdpd2,1.1891911942940903,7.605971873844049,1.2335505195705343,1.1106531950030731
ENSMUSG00000032297,Celf6,1.8729565151515173,7.538747259396608,1.215370199844697,1.1024382975226763
ENSMUSG00000055430,Nap1l5,0.8802299134213651,7.512031107721762,1.2081898627432608,1.0991769023879918
ENSMUSG00000049506,Sppl2c,1.6948862121212125,7.502434293799555,1.205616808625407,1.0980058326918885
ENSMUSG00000026247,Ecel1,2.1443159451648475,7.426243896048739,1.18530570274722,1.088717457721341
ENSMUSG00000024553,Galr1,2.546856181818182,7.379522146729294,1.1729530011484162,1.0830295476802174
ENSMUSG00000051527,Usp29,1.4472916666666666,7.372961546691723,1.1712246949863925,1.0822313500293699
ENSMUSG00000021611,Tert,1.047654772727273,7.255854009501743,1.1406328278115299,1.06800413286257
ENSMUSG00000075316,Scn9a,2.1380743939392435,7.173825406806252,1.1194962842425367,1.0580625143357725
ENSMUSG00000031210,Gpr165,2.0302263939393947,7.146213694122927,1.1124355555770216,1.054720605457683
ENSMUSG00000036198,Arhgap36,3.203548560606059,7.041777936757711,1.0859760260866225,1.0421017349983746
ENSMUSG00000002012,Pnck,1.337872902101215,7.0175793982818675,1.0799007421684512,1.0391827279975603
ENSMUSG00000035566,Pcdh17,1.24637353030303,7.011018377175296,1.07825713634523,1.0383916103018311
ENSMUSG00000049191,Rgag4,1.2101307407409099,6.942980250879928,1.0613034948991407,1.0301958526897401
ENSMUSG00000072966,Gprasp2,0.8378041919136354,6.909922376175574,1.053125860625269,1.026219206907213
ENSMUSG00000049555,Tmie,1.4888954329016668,6.792268322685286,1.0243380342428061,1.0120958621804588
ENSMUSG00000034282,Evpl,1.2659468308075752,6.784488691773697,1.0224519242687204,1.011163648609225
ENSMUSG00000031303,Map3k15,1.3848603517304543,6.7601282801311555,1.0165599163227175,1.0082459602312908
ENSMUSG00000019027,Dnahc1,1.7689009947296972,6.733547484219223,1.010155047722825,1.0050646982770934
ENSMUSG00000063018,2010204K13Rik,1.7058293939381812,6.718468139118671,1.0065327694034976,1.0032610674213853
ENSMUSG00000040856,Dlk1,1.828389424242424,6.7137699719163315,1.0054058604651532,1.0026992871569986
ENSMUSG00000031111,Igsf1,2.074431028137425,6.69086429815079,0.9999229644020006,0.9999614814591613
ENSMUSG00000031344,Gabrq,2.7890788939393945,6.685280985300233,0.9985893357617861,0.9992944189585901
ENSMUSG00000028753,Vwa5b1,2.4134780000000005,6.653627700556524,0.9910496879974332,0.9955147854238194
ENSMUSG00000021340,Gpld1,0.9972109469721211,6.613825679768656,0.9816198405823302,0.9907672989064235
ENSMUSG00000043463,Rab9b,1.2511514141422717,6.591371896121369,0.9763250789861031,0.9880916349135352
