Ensembl_gene,Symbol,MoGene_Enrich,MoGene_Hedges_g,MoGene_Var_g,MoGene_SEg
ENSMUSG00000026787,Gad2,1.7365588333333335,17.068092397217974,6.225136365954007,2.4950223177266384
ENSMUSG00000006930,Hap1,2.5558127499999994,13.350462215025956,3.869200184180377,1.967028262171232
ENSMUSG00000004317,Clcn5,2.3439540625,12.825527104285156,3.582935687261988,1.8928644133328696
ENSMUSG00000066357,Wdr6,1.9005929166666693,12.660584847585627,3.4953578368486893,1.8695876114396697
ENSMUSG00000021340,Gpld1,1.4321493518491675,12.326394804214992,3.3213911740666804,1.8224684288257726
ENSMUSG00000036699,Zcchc12,2.89475,11.943614711939343,3.127847914022421,1.7685722812546907
ENSMUSG00000060177,Klk1b22,3.310158333333332,11.633518639761073,2.9755317380727213,1.7249729673454948
ENSMUSG00000031255,Sytl4,2.743443452380001,11.58567069104208,2.9523861009811205,1.7182508841787687
ENSMUSG00000057895,Zfp105,1.4980412500000009,11.438383656187987,2.8817372531660572,1.69756804080604
ENSMUSG00000019986,Ahi1,2.2064878623491655,11.359352380505205,2.8442011247981576,1.6864759484790044
ENSMUSG00000006522,Itih3,2.8709735,11.263918284599972,2.7992213043326646,1.673087357053619
ENSMUSG00000055430,Nap1l5,2.0666880555608316,10.839467373476184,2.6037670922182707,1.613619252555655
ENSMUSG00000046287,Pnma3,2.2524091666666655,10.818995943323902,2.5945300147391945,1.6107544861769576
ENSMUSG00000021032,Ngb,2.9147066666441663,10.375625537534386,2.398757766269959,1.548792357377179
ENSMUSG00000021072,Tmx1,1.1642280555558333,10.330909316469526,2.379467808144566,1.5425523680395963
ENSMUSG00000024084,Qpct,1.3184035714291662,10.023635527913203,2.2491674308805436,1.4997224512824177
ENSMUSG00000047507,Baiap3,3.2911306770833324,9.606490050832273,2.078571220470036,1.4417250849139152
ENSMUSG00000036941,Elac1,1.4779400000000003,9.394348118164665,1.9945946677309643,1.4123011958257927
ENSMUSG00000019841,Rev3l,1.310476990725002,9.304220183587551,1.9594850148020886,1.399816064632096
ENSMUSG00000049191,Rgag4,1.7009533333333353,9.287569279957859,1.9530356378299842,1.3975105143897788
ENSMUSG00000024270,Slc39a6,1.285075952373333,9.236989513276,1.9335154740456895,1.3905090701055098
ENSMUSG00000024423,Impact,0.9454166666666701,9.151207096997851,1.9006533087076283,1.378641834817016
ENSMUSG00000027584,Oprl1,0.9944937121108328,9.00794754062402,1.846455966259513,1.358843613613985
ENSMUSG00000032297,Celf6,2.016120833333332,8.986032312360814,1.8382405042628112,1.3558172827718384
ENSMUSG00000070287,Slc35g2,1.425374999999999,8.982744980700307,1.8370098932108097,1.3553633805038448
ENSMUSG00000074264,Amy1,2.6734444444358356,8.818962158766109,1.776267938407727,1.3327670233044209
ENSMUSG00000022860,Chodl,2.3195285416666653,8.695236289592144,1.7311229503679677,1.3157214562239106
ENSMUSG00000083695,Rnf138rt1,1.7340325000000014,8.471486067543692,1.6511009099668583,1.2849517150332375
ENSMUSG00000032558,Nphp3,0.9702692261899992,8.35871323211777,1.6115594663042292,1.2694721211213065
ENSMUSG00000051527,Usp29,2.397659166666667,8.083968279206527,1.517443971354993,1.2318457579400892
ENSMUSG00000048376,F2r,1.1810154166666669,8.063264620538028,1.5104792463883872,1.2290155598642303
ENSMUSG00000031210,Gpr165,2.5546455555525007,8.042925861719208,1.5036546646444575,1.2262359742906166
ENSMUSG00000027359,Slc27a2,1.443921875,8.041803267231224,1.5032784848890228,1.226082576700698
ENSMUSG00000027133,Nop10,1.2083913888850013,8.019225329226078,1.4957237993067378,1.2229978737948557
ENSMUSG00000057554,Lgals8,1.2947550000108343,7.965551444549241,1.4778495271163083,1.2156683458560185
ENSMUSG00000035620,Ric8b,1.0014404166683342,7.918303796953863,1.4622146355557555,1.2092206728119377
ENSMUSG00000002012,Pnck,1.8051184090891663,7.879832757136048,1.4495527451303456,1.2039737310798544
ENSMUSG00000029212,Gabrb1,0.8619804166666647,7.87653788537446,1.448471178032531,1.2035244816922217
ENSMUSG00000031590,Frg1,0.7697483333333333,7.819806005509075,1.4299194468670438,1.1957923928788992
ENSMUSG00000031374,Zfp92,1.7669927083333343,7.816377025332211,1.4288024434992406,1.1953252459055823
ENSMUSG00000048087,Gm4737,1.265008749999998,7.798152116023679,1.42287383146806,1.1928427521966423
ENSMUSG00000014763,Fam120b,0.6826100000000022,7.765607446764265,1.412321385480477,1.1884112863316627
ENSMUSG00000056972,Magel2,1.6224760416666646,7.689045119982701,1.3876704654781686,1.1779942552823288
ENSMUSG00000026495,Efcab2,1.3028602083333336,7.614841070155507,1.3640119168656122,1.1679092074581878
ENSMUSG00000074872,Ctxn2,2.157068333333333,7.594907667296939,1.3576956241789195,1.1652019671194
ENSMUSG00000020834,Dhrs13,1.239483888889164,7.5424668573412825,1.3411577870815417,1.158083670155806
ENSMUSG00000034064,Poglut1,0.8067180833333332,7.531926291874187,1.337847524000999,1.1566535885912423
ENSMUSG00000039316,Rftn1,2.0419113888875007,7.51912016353848,1.3338319899906925,1.1549164428609944
ENSMUSG00000010505,Myt1,1.2829835416666686,7.514301767232088,1.3323228861427,1.1542629189845353
