Ensembl_gene,Symbol,RNA_Seq_Enrich,RNA_Seq_Hedges_g,RNA_Seq_Var_g,RNA_Seq_SEg
ENSMUSG00000028753,Vwa5b1,2.5531266286550287,13.505127863553819,5.5849899253348285,2.3632583281001738
ENSMUSG00000029193,Cckar,1.5138182766685147,12.075706219296915,4.509525280741547,2.1235642869340094
ENSMUSG00000005447,Pafah1b3,2.2934768792277147,11.58736478974724,4.169652988856486,2.0419728178544605
ENSMUSG00000020895,Tmem107,1.5181198822265713,10.761067598007633,3.6265221970392996,1.9043429830362228
ENSMUSG00000006930,Hap1,2.7695190836907164,10.67951056005421,3.575091901551641,1.890791342679472
ENSMUSG00000019027,Dnahc1,2.1519160811309996,10.63986606887059,3.5502332004102986,1.8842062520887406
ENSMUSG00000022842,Ece2,1.8285158541727142,10.542906421723764,3.48982513728443,1.8681073677078708
ENSMUSG00000031374,Zfp92,1.3500221647780912,10.427679124463351,3.418755022741623,1.848987566951607
ENSMUSG00000031340,Gabre,2.737915986118644,10.271055914581163,3.3234049544382094,1.8230208321459767
ENSMUSG00000023964,Calcr,3.9615417935640256,10.009731675716031,3.1675266785376257,1.779754668075807
ENSMUSG00000041798,Gck,3.102077085754771,9.993672141580074,3.1580782859952965,1.7770982769659354
ENSMUSG00000036551,Akap14,1.2884491234880229,9.785887549358492,3.0371992346804695,1.7427562177999738
ENSMUSG00000032297,Celf6,2.9568778998232865,9.736804191169073,3.009015726694531,1.7346514712456018
ENSMUSG00000029182,1700001C02Rik,2.341473790271371,9.706256438689197,2.9915468501188798,1.7296088720051364
ENSMUSG00000070306,Ccdc153,4.197275339082429,9.66066843801971,2.965579221170489,1.7220857182993212
ENSMUSG00000075316,Scn9a,1.999465731093047,9.608655483912283,2.9361011487930595,1.7135055146666611
ENSMUSG00000056394,Lig1,1.1980354087124283,9.26420983420155,2.7449047853695037,1.6567754179035563
ENSMUSG00000031789,Cngb1,2.3780049657061917,9.16478039392191,2.6910111329194666,1.6404301670353014
ENSMUSG00000021340,Gpld1,1.726946080916143,9.143720809279943,2.679670855544279,1.6369700227995256
ENSMUSG00000031344,Gabrq,2.6578785407405427,9.13201171042922,2.673376962643025,1.63504647109586
ENSMUSG00000047361,Gm973,1.9873268944658573,9.079537097677896,2.645269787016341,1.6264285373222953
ENSMUSG00000031255,Sytl4,3.589677506293802,9.060526349206546,2.6351269580915444,1.6233074133051768
ENSMUSG00000064280,Ccdc146,1.5409756499879856,8.773862313481223,2.4847599631286035,1.5763121401323417
ENSMUSG00000034918,Cdhr2,1.6515347345886713,8.699360443915618,2.4464720877532398,1.5641202280365918
ENSMUSG00000026301,Iqca,2.0758304334196716,8.6872066334441,2.440256998311812,1.5621321961702896
ENSMUSG00000001127,Araf,1.6822992579432858,8.599272810804218,2.3955491683847976,1.5477561721359077
ENSMUSG00000046242,1600029I14Rik,2.4652287796367442,8.477934646739401,2.334604550730316,1.5279412785608995
ENSMUSG00000029616,Erp29,1.126426489966429,8.436146757314066,2.3138162047466784,1.5211233364677166
ENSMUSG00000036502,Tmem255a,2.6641471666594283,8.426002731155725,2.308785319879123,1.5194687623900411
ENSMUSG00000049154,Fam183b,2.6506932214010566,8.393338582682409,2.2926268062938697,1.5141422675210774
ENSMUSG00000019986,Ahi1,2.3092267373404276,8.35960099502024,2.2760031660702884,1.5086428225628121
ENSMUSG00000024033,Rsph1,2.6352147126994283,8.264945669913342,2.2297207581489915,1.4932249522925176
ENSMUSG00000021032,Ngb,3.404731896459143,8.21783590778286,2.2068825252262285,1.4855579844712319
ENSMUSG00000039963,Ccdc40,1.7902119454249426,8.115545195669744,2.1577427256883737,1.4689257046183015
ENSMUSG00000075592,Nynrin,1.4625579287994146,8.111342852142487,2.1557371092779247,1.4682428645418049
ENSMUSG00000042788,Fam166b,2.2323247940467557,8.108165230800386,2.154221242953138,1.4677265559201205
ENSMUSG00000024084,Qpct,1.8958043889311416,8.058065146962228,2.130399787150995,1.459588910327492
ENSMUSG00000022759,4930451C15Rik,1.3646880070829002,8.002789714364901,2.104288884199738,1.4506167254653235
ENSMUSG00000038112,AW551984,3.548371574185428,7.9931521332909785,2.0997547022464866,1.4490530363815144
ENSMUSG00000022860,Chodl,1.5502521470961628,7.97720120619607,2.0922622921936016,1.4464654479777945
ENSMUSG00000041323,Ak7,2.8481213484043,7.932896219268877,2.071530037533438,1.439281083573823
ENSMUSG00000039977,Ccdc67,1.2142530345179658,7.808412571090319,2.013896639141404,1.4191182611542297
ENSMUSG00000094282,Ccdc42b,2.5653708177586005,7.765034075687564,1.994027442559866,1.412100365611406
ENSMUSG00000074555,Gm10714,1.7640762597450428,7.711322186315204,1.9695784915177508,1.403416720549442
ENSMUSG00000011154,1700026D08Rik,1.8718924958998002,7.706273749700084,1.9672892339930297,1.40260088193079
ENSMUSG00000045761,Fam179a,1.942666746259943,7.704950791357022,1.9666895749317532,1.402387098818209
ENSMUSG00000036198,Arhgap36,3.743119591451485,7.675538255891896,1.9533843049443067,1.397635254615562
