Ensembl Gene ID	Description	MGI symbol
ENSMUSG00000039221	ribosomal protein L22 like 1 [Source:MGI Symbol;Acc:MGI:1915278]	Rpl22l1
ENSMUSG00000095611	predicted gene 10597 [Source:MGI Symbol;Acc:MGI:3641628]	Gm10597
ENSMUSG00000061731	exostoses (multiple) 1 [Source:MGI Symbol;Acc:MGI:894663]	Ext1
ENSMUSG00000018599	Smith-Magenis syndrome chromosome region, candidate 7 homolog (human) [Source:MGI Symbol;Acc:MGI:2144199]	Smcr7
ENSMUSG00000094722	predicted gene 7792 [Source:MGI Symbol;Acc:MGI:3704104]	Gm7792
ENSMUSG00000042428	mannoside acetylglucosaminyltransferase 3 [Source:MGI Symbol;Acc:MGI:104532]	Mgat3
ENSMUSG00000098225		
ENSMUSG00000003528	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345283]	Slc25a1
ENSMUSG00000040850	proteasome (prosome, macropain) activator subunit 4 [Source:MGI Symbol;Acc:MGI:2143994]	Psme4
ENSMUSG00000085747	predicted gene 11194 [Source:MGI Symbol;Acc:MGI:3649278]	Gm11194
ENSMUSG00000058491	olfactory receptor 869 [Source:MGI Symbol;Acc:MGI:3030703]	Olfr869
ENSMUSG00000087136	predicted gene 15864 [Source:MGI Symbol;Acc:MGI:3802115]	Gm15864
ENSMUSG00000070546	MAS-related GPR, member B3 [Source:MGI Symbol;Acc:MGI:3033117]	Mrgprb3
ENSMUSG00000087594	cDNA sequence BC039771 [Source:MGI Symbol;Acc:MGI:3040676]	BC039771
ENSMUSG00000079741	NLR family, pyrin domain containing 4G [Source:MGI Symbol;Acc:MGI:3700744]	Nlrp4g
ENSMUSG00000045917	RIKEN cDNA 6330416G13 gene [Source:MGI Symbol;Acc:MGI:1913920]	6330416G13Rik
ENSMUSG00000025395	DNA primase, p49 subunit [Source:MGI Symbol;Acc:MGI:97757]	Prim1
ENSMUSG00000041037	immunity-related GTPase family, Q [Source:MGI Symbol;Acc:MGI:2667176]	Irgq
ENSMUSG00000025161	solute carrier family 16 (monocarboxylic acid transporters), member 3 [Source:MGI Symbol;Acc:MGI:1933438]	Slc16a3
ENSMUSG00000002221	PAX interacting (with transcription-activation domain) protein 1 [Source:MGI Symbol;Acc:MGI:1890430]	Paxip1
ENSMUSG00000032561	acid phosphatase, prostate [Source:MGI Symbol;Acc:MGI:1928480]	Acpp
ENSMUSG00000086981	predicted gene 12171 [Source:MGI Symbol;Acc:MGI:3649516]	Gm12171
ENSMUSG00000096927		
ENSMUSG00000082718	predicted gene 14928 [Source:MGI Symbol;Acc:MGI:3648477]	Gm14928
ENSMUSG00000032735	actin binding LIM protein family, member 3 [Source:MGI Symbol;Acc:MGI:2442582]	Ablim3
ENSMUSG00000086257	RIKEN cDNA 4930548K13 gene [Source:MGI Symbol;Acc:MGI:1922610]	4930548K13Rik
ENSMUSG00000025510	CD151 antigen [Source:MGI Symbol;Acc:MGI:1096360]	Cd151
ENSMUSG00000085662	predicted gene 16220 [Source:MGI Symbol;Acc:MGI:3802166]	Gm16220
ENSMUSG00000089991	predicted gene 16332 [Source:MGI Symbol;Acc:MGI:3840155]	Gm16332
ENSMUSG00000081180	predicted gene 7212 [Source:MGI Symbol;Acc:MGI:3648271]	Gm7212
ENSMUSG00000024774	ankyrin repeat domain 22 [Source:MGI Symbol;Acc:MGI:1277101]	Ankrd22
ENSMUSG00000032067	6-pyruvoyl-tetrahydropterin synthase [Source:MGI Symbol;Acc:MGI:1338783]	Pts
ENSMUSG00000039838	solute carrier family 45, member 1 [Source:MGI Symbol;Acc:MGI:2653235]	Slc45a1
ENSMUSG00000044792	iron-sulfur cluster assembly 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916296]	Isca1
ENSMUSG00000000817	Fas ligand (TNF superfamily, member 6) [Source:MGI Symbol;Acc:MGI:99255]	Fasl
ENSMUSG00000081818	predicted gene 12652 [Source:MGI Symbol;Acc:MGI:3649944]	Gm12652
ENSMUSG00000051910	SRY-box containing gene 6 [Source:MGI Symbol;Acc:MGI:98368]	Sox6
ENSMUSG00000058748	zinc finger protein 958 [Source:MGI Symbol;Acc:MGI:2385298]	Zfp958
ENSMUSG00000080964	interferon alpha gene, pseudogene 1 [Source:MGI Symbol;Acc:MGI:107669]	Ifna-ps1
ENSMUSG00000094992	F-box and WD-40 domain protein 25 [Source:MGI Symbol;Acc:MGI:3588266]	Fbxw25
ENSMUSG00000098087		
ENSMUSG00000038605	sterile alpha motif domain containing 10 [Source:MGI Symbol;Acc:MGI:2443872]	Samd10
ENSMUSG00000082136	predicted gene 15660 [Source:MGI Symbol;Acc:MGI:3783102]	Gm15660
ENSMUSG00000021692	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913504]	Dimt1
ENSMUSG00000023104	replication factor C (activator 1) 2 [Source:MGI Symbol;Acc:MGI:1341868]	Rfc2
ENSMUSG00000025531	choroidermia [Source:MGI Symbol;Acc:MGI:892979]	Chm
ENSMUSG00000035504	receptor accessory protein 6 [Source:MGI Symbol;Acc:MGI:1917585]	Reep6
ENSMUSG00000042251	peptidase M20 domain containing 1 [Source:MGI Symbol;Acc:MGI:2442939]	Pm20d1
ENSMUSG00000084853	predicted gene 11791 [Source:MGI Symbol;Acc:MGI:3652129]	Gm11791
ENSMUSG00000034488	EGF-like repeats and discoidin I-like domains 3 [Source:MGI Symbol;Acc:MGI:1329025]	Edil3
ENSMUSG00000092179	vomeronasal 2, receptor, pseudogene 75 [Source:MGI Symbol;Acc:MGI:3761320]	Vmn2r-ps75
ENSMUSG00000060771	testis specific 10 [Source:MGI Symbol;Acc:MGI:2685063]	Tsga10
ENSMUSG00000093622	predicted gene 20703 [Source:MGI Symbol;Acc:MGI:5313150]	Gm20703
ENSMUSG00000091775	predicted gene 16494 [Source:MGI Symbol;Acc:MGI:3641930]	Gm16494
ENSMUSG00000097766		
ENSMUSG00000023902	zinc finger and SCAN domain containing 10 [Source:MGI Symbol;Acc:MGI:3040700]	Zscan10
ENSMUSG00000092307	vomeronasal 2, receptor, pseudogene 76 [Source:MGI Symbol;Acc:MGI:3761321]	Vmn2r-ps76
ENSMUSG00000090293	predicted gene 17034 [Source:MGI Symbol;Acc:MGI:4937861]	Gm17034
ENSMUSG00000093514	predicted gene 9320 [Source:MGI Symbol;Acc:MGI:3645000]	Gm9320
ENSMUSG00000032671	RIKEN cDNA A930018P22 gene [Source:MGI Symbol;Acc:MGI:1915493]	A930018P22Rik
ENSMUSG00000097120		
ENSMUSG00000095881	predicted gene, 21968 [Source:MGI Symbol;Acc:MGI:5439437]	Gm21968
ENSMUSG00000092287	vomeronasal 2, receptor, pseudogene 77 [Source:MGI Symbol;Acc:MGI:3761322]	Vmn2r-ps77
ENSMUSG00000081526	predicted pseudogene 7219 [Source:MGI Symbol;Acc:MGI:3645144]	Gm7219
ENSMUSG00000048484	predicted gene 7461 [Source:MGI Symbol;Acc:MGI:3645338]	Gm7461
ENSMUSG00000093803	protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta [Source:MGI Symbol;Acc:MGI:1335093]	Ppp2r3d
ENSMUSG00000074203	RIKEN cDNA G430095P16 gene [Source:MGI Symbol;Acc:MGI:3588227]	G430095P16Rik
ENSMUSG00000062472	predicted gene 4945 [Source:MGI Symbol;Acc:MGI:3647512]	Gm4945
ENSMUSG00000092440	vomeronasal 2, receptor, pseudogene 78 [Source:MGI Symbol;Acc:MGI:3761323]	Vmn2r-ps78
ENSMUSG00000094293	predicted gene 3893 [Source:MGI Symbol;Acc:MGI:3782066]	Gm3893
ENSMUSG00000097296		
ENSMUSG00000087578	predicted gene 15605 [Source:MGI Symbol;Acc:MGI:3783052]	Gm15605
ENSMUSG00000098245		
